This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
ncfdcX3mp            => sp=suff cl=cmn gn=f nu=d st=c ps2=3 gn2=m nu2=p
ncfdcX3ms            => sp=suff cl=cmn gn=f nu=d st=c ps2=3 gn2=m nu2=s
ncfdd                => sp=subs cl=cmn gn=f nu=d st=d
ncfp                 => sp=subs cl=cmn gn=f nu=p
ncfpXd               => sp=suff cl=cmn gn=f nu=p cl2=d
ncfpa                => sp=subs cl=cmn gn=f nu=p st=a
ncfpc                => sp=subs cl=cmn gn=f nu=p st=c
ncfpcX0              => sp=suff cl=cmn gn=f nu=p st=c cl2=unknown
ncfpcX1cp            => sp=suff cl=cmn gn=f nu=p st=c ps2=1 gn2=c nu2=p
ncfpcX1cs            => sp=suff cl=cmn gn=f nu=p st=c ps2=1 gn2=c nu2=s
ncfpcX2fs            => sp=suff cl=cmn gn=f nu=p st=c ps2=2 gn2=f nu2=s
ncfpcX2mp            => sp=suff cl=cmn gn=f nu=p st=c ps2=2 gn2=m nu2=p
ncfpcX2ms            => sp=suff cl=cmn gn=f nu=p st=c ps2=2 gn2=m nu2=s
ncfpcX3fp            => sp=suff cl=cmn gn=f nu=p st=c ps2=3 gn2=f nu2=p
ncfpcX3fs            => sp=suff cl=cmn gn=f nu=p st=c ps2=3 gn2=f nu2=s
ncfpcX3mp            => sp=suff cl=cmn gn=f nu=p st=c ps2=3 gn2=m nu2=p
ncfpcX3ms            => sp=suff cl=cmn gn=f nu=p st=c ps2=3 gn2=m nu2=s
ncfpd                => sp=subs cl=cmn gn=f nu=p st=d
ncfpdX2ms            => sp=suff cl=cmn gn=f nu=p st=d ps2=2 gn2=m nu2=s
ncfpdX3fs            => sp=suff cl=cmn gn=f nu=p st=d ps2=3 gn2=f nu2=s
ncfpdX3ms            => sp=suff cl=cmn gn=f nu=p st=d ps2=3 gn2=m nu2=s
ncfs                 => sp=subs cl=cmn gn=f nu=s
ncfsXd               => sp=suff cl=cmn gn=f nu=s cl2=d
ncfsXh               => sp=suff cl=cmn gn=f nu=s cl2=h
ncfsa                => sp=subs cl=cmn gn=f nu=s st=a
ncfsc                => sp=subs cl=cmn gn=f nu=s st=c
ncfscX0              => sp=suff cl=cmn gn=f nu=s st=c cl2=unknown
ncfscX1cp            => sp=suff cl=cmn gn=f nu=s st=c ps2=1 gn2=c nu2=p
ncfscX1cs            => sp=suff cl=cmn gn=f nu=s st=c ps2=1 gn2=c nu2=s
ncfscX2fp            => sp=suff cl=cmn gn=f nu=s st=c ps2=2 gn2=f nu2=p
ncfscX2fs            => sp=suff cl=cmn gn=f nu=s st=c ps2=2 gn2=f nu2=s
ncfscX2mp            => sp=suff cl=cmn gn=f nu=s st=c ps2=2 gn2=m nu2=p
ncfscX2ms            => sp=suff cl=cmn gn=f nu=s st=c ps2=2 gn2=m nu2=s
ncfscX30s            => sp=suff cl=cmn gn=f nu=s st=c ps2=3 gn2=unknown nu2=s
